affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,policy_continuation_date,policy_start_date_pol,policy_lastchange_date,premium_wa,premium_other,zipcode_link_pol,zip4_pol,place_residence,birth_date_pol,gender,private_commercial,bonus_malus_percent,other_cover,premium_other_incl_discount,worth_car,brand_pol,builddate_car,weight_car,mileage_car,power_car,fuel_car,chassis,drive,turbo,transmission,zip4_reg,PROVINCE,URB,INCOME,SOCCL_A,SOCCL_B1,SOCCL_B2,SOCCL_C,SOCCL_D,EDU_HIGH,EDU_MID,EDU_LOW,DINK,OWN_HOUSE,AVG_HOUSE,RENT_PRICE,STAGE_OF_LIFE,SINGLE,FAM,FAM_WCHILD,SINGLES_YOUNG,SINGLES_MID,SINGLES_OLD,FAM_CHILD_Y,FAM_CHILD_O,FAM_WCHILD_Y,FAM_WCHILD_MED,FAM_WCHILD_OLD,CIT_HOUSEHOLD,LOAN,SAVINGS,SHOP_ONLINE,CAR,conv,churn
Insuro,Requestwithdrawn,1000,10000.0,10000,2132,1985-01-01,HYUNDAI,2018-10-11,2018-10-11,2018-11-01,686.04,2016.0,June,Y,,,2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,2132.0,North Holland,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
other,Tailoredofferwithdrawn,1001,,10001,6027,1987-04-01,AUDI,2018-10-11,,,0.0,2015.0,June,N,N,N,2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,6027.0,North Brabant,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,10.0,,9.0,2.0,4.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,5.0,2.0,6.0,5.0,5.0,0,-1
other,Incompleterequest,1002,,10002,3824,1972-11-01,VOLKSWAGEN,2018-10-11,,,896.04,2016.0,April,,,Y,2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,3824.0,Utrecht,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,6.0,3.0,9.0,11.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,6.0,3.0,5.0,6.0,5.0,0,-1
other,Policycreated,1003,10002.0,10003,6921,1983-08-01,MAZDA,2018-10-11,2018-10-11,2018-10-12,419.16,2009.0,June,,Y,,2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,6921.0,Gelderland,4.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,5.0,8.0,,4.0,2.0,5.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,6.0,5.0,1,1
other,Policycreated,1004,10003.0,10004,8266,1990-04-01,VOLVO,2018-10-12,2018-10-12,2018-11-01,402.36,2003.0,January,Y,,,2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,8266.0,Overijssel,4.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,5.0,6.0,,4.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,6.0,5.0,1,1
Insuro,Calculatenewpremium,1005,,10005,9642,1974-09-01,HYUNDAI,2018-10-12,,,366.48,2002.0,April,,,Y,2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,9642.0,Groningen,4.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,5.0,4.0,,9.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,0,-1
other,Calculatenewpremium,1006,,10006,6281,1976-01-01,VOLKSWAGEN,2018-10-12,,,611.52,2002.0,November,Y,,,2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,6281.0,Limburg,7.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,9.0,,3.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,6.0,4.0,5.0,0,-1
other,Calculatenewpremium,1007,,10007,9451,1950-01-01,SKODA,2018-10-12,,,839.52,2017.0,January,,,Y,2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,9451.0,Drenthe,7.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,9.0,,9.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,4.0,5.0,0,-1
Insuro,Policycreated,1008,10004.0,10008,3081,1953-10-01,TOYOTA,2018-10-13,2018-10-14,2018-12-01,279.12,2003.0,May,Y,,,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,3081.0,South Holland,1.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,9.0,9.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,1,1
Seguros International Ltd.,Calculatenewpremium,1009,,10009,1333,1994-03-01,TOYOTA,2018-10-14,,,323.4,1997.0,September,Y,,,2018-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,1333.0,Flevoland,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,2.0,4.0,5.0,6.0,,6.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,0,-1
other,Requestrejected,1010,10005.0,10010,2272,1991-08-01,BMW,2018-10-14,2018-10-14,2018-10-16,1391.16,2008.0,April,,,Y,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,2272.0,South Holland,4.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,11.0,2.0,5.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,6.0,2.0,0,1
other,Incompleterequest,1011,,10011,3553,1971-11-01,SKODA,2018-10-14,,,913.32,2016.0,February,,,Y,2018-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,3553.0,Utrecht,1.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,8.0,,2.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,6.0,6.0,4.0,0,-1
other,Incompleterequest,1012,,10012,6214,1992-09-01,TOYOTA,2018-10-15,,,564.6,2016.0,October,,,Y,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,6214.0,Limburg,2.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,1.0,2.0,2.0,2.0,,1.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,6.0,5.0,1.0,0,-1
Insuro,Tailoredofferrejected,1013,,10013,4751,1995-05-01,BMW,2018-10-15,,,0.0,2018.0,April,N,N,N,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,4751.0,North Brabant,6.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,5.0,11.0,,9.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,6.0,4.0,5.0,0,-1
Insuro,Calculatenewpremium,1014,,10013,4751,1995-05-01,BMW,2018-10-15,,,,2018.0,April,N,N,N,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,4751.0,North Brabant,6.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,5.0,11.0,,9.0,2.0,3.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,6.0,4.0,5.0,0,-1
other,Incompleterequest,1015,,10014,7211,1959-03-01,VOLVO,2018-10-15,,,527.52,2009.0,September,,,Y,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,7211.0,Gelderland,7.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,4.0,9.0,,7.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,0,-1
other,Calculatenewpremium,1016,,10014,7211,1959-03-01,VOLVO,2018-10-15,,,515.64,2009.0,September,,,Y,2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,7211.0,Gelderland,7.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,4.0,9.0,,7.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,0,-1
Insuro,Incompleterequest,1017,,10015,3077,1966-08-01,OPEL,2018-10-16,,,314.52,2005.0,August,Y,,,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,3077.0,South Holland,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,5.0,5.0,,8.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,6.0,5.0,0,-1
other,Calculatenewpremium,1018,,10016,3332,1969-06-01,AUDI,2018-10-16,,,926.16,2017.0,March,,,Y,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,3332.0,South Holland,4.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,4.0,12.0,,9.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,5.0,1.0,6.0,5.0,5.0,0,-1
Seguros International Ltd.,Policycreated,1019,10006.0,10017,2971,1998-05-01,VOLKSWAGEN,2018-10-16,2018-10-16,2018-10-20,165.48,2000.0,April,Y,,,2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,2971.0,South Holland,7.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,6.0,5.0,7.0,,6.0,1.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,6.0,2.0,6.0,6.0,5.0,1,1
other,Policycreated,1020,10007.0,10018,1013,1966-07-01,PEUGEOT,2018-10-17,2018-10-17,2018-11-02,801.23,2012.0,September,,,Y,2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,1013.0,North Holland,1.0,2.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,9.0,,1.0,5.0,4.0,2.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,6.0,6.0,1.0,1,1
Insuro,Personaloffer,1021,,10019,1097,1970-02-01,DAEWOO,2018-10-17,,,198.96,2003.0,October,Y,,,2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,1097.0,North Holland,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,6.0,1.0,13.0,11.0,4.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0,4.0,0,-1
other,Policycreated,1022,10008.0,10020,9528,1954-02-01,PEUGEOT,2018-10-17,2018-10-17,2018-12-01,328.78,2012.0,April,,,Y,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,9528.0,Drenthe,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,5.0,9.0,,9.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,1,1
other,Policycreated,1023,10009.0,10020,9528,1954-02-01,KIA,2018-10-17,2018-10-17,2019-01-01,147.91,2013.0,October,,Y,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,9528.0,Drenthe,7.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,5.0,9.0,,9.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,5.0,5.0,1,1
Insuro,Incompleterequest,1024,,10021,2331,1963-10-01,HYUNDAI,2018-10-17,,,373.56,1999.0,August,Y,,,2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,2331.0,South Holland,2.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,7.0,9.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,3.0,3.0,2.0,0,-1
Insuro,Policycreated,1025,10010.0,10022,2512,1991-08-01,VOLKSWAGEN,2018-10-18,2018-10-18,2018-10-19,477.36,2009.0,March,Y,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,2512.0,South Holland,1.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,5.0,1.0,1.0,5.0,9.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,1.0,1,1
Insuro,Incompleterequest,1026,,10015,3077,1966-08-01,OPEL,2018-10-18,,,314.52,2005.0,August,Y,,,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,3077.0,South Holland,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,5.0,5.0,,8.0,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,6.0,5.0,0,-1
Insuro,Calculatenewpremium,1027,,10023,2401,1972-06-01,VOLVO,2018-10-18,,,718.56,1996.0,January,,,Y,2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,2401.0,South Holland,3.0,6.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,7.0,,4.0,2.0,4.0,5.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,5.0,2.0,6.0,5.0,5.0,0,-1
